cnote,dispatch_time,client_name,weight,origin_cluster,to_pincode,trip_id,bp_id,serviceability
1002503676,2019-05-11 09:55:00.0,IFF - Flavour,161.0,AMBT1,781123,846979,BP1091,ODA_2_2
1003327944,2019-05-11 09:55:00.0,K P Manish Global Ingredients Pvt. Ltd,10.0,BOMT1,781128,846979,BP1091,ODA_1_1
8000764175,2019-05-11 09:55:00.0,RETAIL,47.0,NOIT1,781125,846979,BP1091,ODA_1_1
1003151150,2019-05-11 09:55:00.0,Scope Ingredients,566.0,BOMT1,781128,846979,BP1091,ODA_1_1
8000776440,2019-05-11 09:55:00.0,Bosch,50.0,DELT1,781123,846979,BP1091,ODA_2_2
8000776439,2019-05-11 09:55:00.0,Bosch,150.0,DELT1,781123,846979,BP1091,ODA_2_2
1003381042,2019-05-11 08:44:00.0,Roy Fine Art,50.0,IDRT2,462044,846981,BP1663,ODA_1_1
1001654157,2019-05-11 08:59:00.0,WESTERN DRUGS LTD,100.0,JAIT1,403404,846991,BP1426,ODA_1_1
2000671250,2019-05-11 09:11:00.0,TRIMBLE MOBILITY SOLUTION INDIA PVT LTD,2.6,BLRT1,637302,847001,BP1187,ODA_1_1
1003012529,2019-05-11 09:11:00.0,K P Manish Global Ingredients Pvt. Ltd,100.0,MAAT2,637214,847001,BP1187,ODA_2_2
1003380059,2019-05-11 08:37:00.0,We3 Supply chain solutions pvt ltd,5.0,BOMT1,416001,847030,BP1215,ODA_2_2
